timestamp,station_id,connector_id,ocpp_message,status,price_eur_kwh,energy_kwh,power_kw,reason,label
2025-12-01 09:49:18,CP-03,2,RemoteStopTransaction,Charging,2.6266,11.94,16.25,price_spike,1
2025-12-01 09:43:33,CP-03,1,ChangeConfiguration,Preparing,2.5479,4.608,15.5,frequent_irregular_change,1
2025-12-01 10:00:17,CP-05,1,StartTransaction,Faulted,-0.3689,8.365,7.57,negative_price,1
2025-12-01 10:51:59,CP-07,2,Authorize,Preparing,0.1714,9.161,17.45,normal,0
2025-12-01 09:21:42,CP-08,1,MeterValues,Preparing,-0.3446,10.641,9.56,negative_price,1
2025-12-01 10:11:48,CP-07,1,StopTransaction,Faulted,-0.5597,3.108,2.23,negative_price,1
2025-12-01 10:22:21,CP-08,1,StopTransaction,Faulted,0.3348,-1.665,0.86,spoofed_meter_values,1
2025-12-01 09:29:44,CP-04,1,ChangeConfiguration,Available,0.2775,433.796,0.61,spoofed_meter_values,1
2025-12-01 10:23:18,CP-08,1,MeterValues,Preparing,0.0285,3.892,13.66,price_drop,1
2025-12-01 09:54:07,CP-10,2,Heartbeat,Charging,0.3013,8.083,14.33,normal,0
2025-12-01 10:15:41,CP-10,2,StartTransaction,Available,0.201,5.242,3.27,normal,0
2025-12-01 09:09:56,CP-05,2,BootNotification,Available,0.3073,7.514,12.45,normal,0
2025-12-01 09:59:07,CP-09,1,ChangeConfiguration,Preparing,1.735,2.233,12.04,frequent_irregular_change,1
2025-12-01 09:58:57,CP-01,2,MeterValues,SuspendedEV,5.7078,3.787,14.19,price_spike,1
2025-12-01 10:43:19,CP-04,1,BootNotification,Charging,0.2752,4.875,14.61,normal,0
2025-12-01 10:17:07,CP-02,1,ChangeConfiguration,Available,0.0108,9.889,15.71,price_drop,1
2025-12-01 10:58:17,CP-08,2,StopTransaction,Available,0.2923,5.517,9.98,normal,0
2025-12-01 09:57:08,CP-05,1,MeterValues,SuspendedEV,3.8705,1.435,2.86,price_spike,1
2025-12-01 10:44:00,CP-01,2,RemoteStopTransaction,Charging,0.4,372.349,0.17,spoofed_meter_values,1
2025-12-01 10:54:17,CP-01,2,BootNotification,Preparing,0.3154,7.498,10.5,normal,0
2025-12-01 09:11:13,CP-02,2,StatusNotification,Available,0.3087,3.077,10.86,normal,0
2025-12-01 10:34:05,CP-04,2,StopTransaction,Preparing,0.2677,1.763,5.55,normal,0
2025-12-01 10:32:04,CP-02,1,StartTransaction,SuspendedEV,-0.8513,6.017,5.92,negative_price,1
2025-12-01 09:18:32,CP-06,1,StopTransaction,Preparing,0.2784,6.004,18.65,normal,0
2025-12-01 09:36:16,CP-02,1,MeterValues,Charging,0.2501,4.796,17.41,normal,0
2025-12-01 09:15:23,CP-02,1,Heartbeat,Preparing,0.2775,3.15,10.42,normal,0
2025-12-01 10:53:06,CP-06,2,StartTransaction,Preparing,4.7633,2.392,14.34,price_spike,1
2025-12-01 10:51:55,CP-10,1,StatusNotification,Preparing,0.2481,5.115,18.76,normal,0
2025-12-01 09:20:51,CP-06,2,StatusNotification,Charging,0.2813,7.027,4.32,normal,0
2025-12-01 09:59:01,CP-03,1,Authorize,Preparing,0.2262,5.367,18.4,normal,0
2025-12-01 10:21:07,CP-09,1,RemoteStopTransaction,Preparing,0.3134,68.02,161.99,spoofed_meter_values,1
2025-12-01 09:47:59,CP-09,1,RemoteStopTransaction,SuspendedEV,-0.7285,10.489,6.62,negative_price,1
2025-12-01 10:47:47,CP-07,2,MeterValues,Preparing,2.0436,7.65,5.82,price_spike,1
2025-12-01 10:37:47,CP-01,1,StatusNotification,Available,0.3101,4.845,20.14,normal,0
2025-12-01 10:05:25,CP-01,2,BootNotification,Charging,0.2963,10.546,15.81,normal,0
2025-12-01 10:14:04,CP-09,1,StartTransaction,Available,0.1688,3.459,16.62,normal,0
2025-12-01 10:47:15,CP-10,1,StartTransaction,Charging,-0.6282,2.272,11.25,negative_price,1
2025-12-01 10:49:17,CP-06,1,RemoteStartTransaction,Preparing,1.564,6.459,13.94,frequent_irregular_change,1
2025-12-01 10:29:21,CP-02,2,Authorize,Charging,0.2989,5.695,8.37,normal,0
2025-12-01 09:02:57,CP-07,1,Authorize,Charging,0.2312,10.021,8.08,normal,0
2025-12-01 10:04:06,CP-01,1,StopTransaction,Charging,0.2495,6.865,18.21,normal,0
2025-12-01 10:16:40,CP-02,1,StatusNotification,Charging,0.1562,8.259,15.17,normal,0
2025-12-01 10:38:35,CP-01,2,StartTransaction,Preparing,-0.6362,6.903,3.98,negative_price,1
2025-12-01 09:23:01,CP-09,2,MeterValues,Available,5.1721,6.915,17.58,price_spike,1
2025-12-01 09:51:41,CP-04,1,RemoteStopTransaction,Faulted,4.7385,7.537,6.07,price_spike,1
2025-12-01 10:32:32,CP-01,2,StatusNotification,Available,0.1926,1.618,8.17,normal,0
2025-12-01 10:20:13,CP-07,1,Heartbeat,Charging,0.2833,8.079,10.45,normal,0
2025-12-01 10:31:20,CP-10,1,RemoteStartTransaction,Preparing,1.6015,8.194,7.98,price_spike,1
2025-12-01 09:53:41,CP-04,2,StopTransaction,Available,0.2474,9.826,19.16,normal,0
2025-12-01 09:20:10,CP-09,2,StatusNotification,Preparing,0.2002,4.344,2.26,normal,0
2025-12-01 09:03:04,CP-01,1,Heartbeat,Available,0.3178,7.494,6.77,normal,0
2025-12-01 10:27:16,CP-07,1,RemoteStartTransaction,Available,0.014,10.169,4.44,price_drop,1
2025-12-01 09:58:28,CP-03,1,MeterValues,Charging,0.3286,-0.672,0.23,spoofed_meter_values,1
2025-12-01 09:25:06,CP-08,1,Authorize,Preparing,0.2278,11.627,5.44,normal,0
2025-12-01 09:24:13,CP-03,1,Authorize,Charging,0.1993,11.152,19.78,normal,0
2025-12-01 09:40:47,CP-06,2,StopTransaction,Available,0.3007,6.579,8.55,normal,0
2025-12-01 09:50:22,CP-05,1,ChangeConfiguration,SuspendedEV,0.0257,9.454,2.42,price_drop,1
2025-12-01 09:33:36,CP-03,1,Authorize,Available,0.1999,8.515,16.4,normal,0
2025-12-01 10:22:53,CP-08,2,BootNotification,Preparing,0.2424,8.108,5.97,normal,0
2025-12-01 10:37:45,CP-04,2,BootNotification,Preparing,0.2979,5.535,4.73,normal,0
2025-12-01 09:27:18,CP-06,1,MeterValues,SuspendedEV,3.7517,11.538,2.78,price_spike,1
2025-12-01 10:32:00,CP-05,1,BootNotification,Charging,0.3445,4.459,12.62,normal,0
2025-12-01 09:04:42,CP-01,1,StartTransaction,Charging,0.2921,-6.795,0.13,spoofed_meter_values,1
2025-12-01 09:48:43,CP-01,1,ChangeConfiguration,SuspendedEV,3.2251,9.725,18.97,price_spike,1
2025-12-01 10:04:23,CP-06,2,Heartbeat,Available,0.2777,8.824,18.5,normal,0
2025-12-01 10:26:25,CP-08,1,StatusNotification,Charging,0.2424,10.422,7.05,normal,0
2025-12-01 09:57:27,CP-05,2,StartTransaction,Available,0.2443,2.052,20.7,normal,0
2025-12-01 09:55:04,CP-09,2,Heartbeat,Charging,0.1555,4.199,11.43,normal,0
2025-12-01 09:54:07,CP-08,1,Authorize,Available,0.1711,1.014,15.49,normal,0
2025-12-01 09:42:23,CP-08,2,Authorize,Available,0.2255,6.261,20.39,normal,0
2025-12-01 10:17:31,CP-05,2,StatusNotification,Charging,0.309,2.994,16.89,normal,0
2025-12-01 10:11:36,CP-02,2,StartTransaction,Available,0.3148,1.47,7.61,normal,0
2025-12-01 09:01:24,CP-04,1,StartTransaction,Preparing,0.2921,-0.56,0.6,spoofed_meter_values,1
2025-12-01 09:06:27,CP-06,1,StartTransaction,Faulted,2.8784,5.979,9.22,price_spike,1
2025-12-01 09:19:50,CP-07,1,MeterValues,Charging,-0.4566,11.358,6.34,frequent_irregular_change,1
2025-12-01 10:07:38,CP-02,2,StartTransaction,Available,0.1705,6.665,3.11,normal,0
2025-12-01 09:36:52,CP-02,2,Heartbeat,Available,0.2763,1.3,14.22,normal,0
2025-12-01 09:38:40,CP-10,1,Authorize,Preparing,0.2442,9.738,18.63,normal,0
2025-12-01 10:18:47,CP-03,1,BootNotification,Charging,0.3469,5.266,21.09,normal,0
2025-12-01 09:56:04,CP-06,2,RemoteStartTransaction,Charging,2.7378,3.502,11.31,frequent_irregular_change,1
2025-12-01 10:38:46,CP-05,1,BootNotification,Available,0.2006,4.826,7.26,normal,0
2025-12-01 09:07:35,CP-02,1,MeterValues,Preparing,0.1904,6.486,5.29,normal,0
2025-12-01 10:54:13,CP-10,2,RemoteStartTransaction,Faulted,1.8044,7.582,6.01,frequent_irregular_change,1
2025-12-01 10:39:41,CP-08,2,RemoteStartTransaction,SuspendedEV,-0.5359,2.903,7.14,negative_price,1
2025-12-01 10:50:12,CP-10,2,RemoteStopTransaction,Preparing,0.0035,1.244,5.8,price_drop,1
2025-12-01 09:22:45,CP-06,2,RemoteStopTransaction,Preparing,5.5376,0.216,2.68,price_spike,1
2025-12-01 09:29:26,CP-10,2,StatusNotification,Available,0.2037,7.805,5.95,normal,0
2025-12-01 10:19:52,CP-10,2,StopTransaction,Available,0.1582,10.746,20.68,normal,0
2025-12-01 09:18:29,CP-03,1,BootNotification,Charging,0.3402,10.3,16.99,normal,0
2025-12-01 10:03:42,CP-01,2,StopTransaction,Available,0.21,10.958,20.3,normal,0
2025-12-01 09:46:25,CP-03,1,StatusNotification,Preparing,0.2224,4.458,10.78,normal,0
2025-12-01 10:39:58,CP-02,2,RemoteStartTransaction,SuspendedEV,-1.0,4.334,17.47,frequent_irregular_change,1
2025-12-01 10:52:44,CP-09,1,ChangeConfiguration,Available,1.9987,7.267,19.55,frequent_irregular_change,1
2025-12-01 10:23:42,CP-01,2,Heartbeat,Charging,0.26,1.132,18.76,normal,0
2025-12-01 10:51:43,CP-01,2,StopTransaction,Preparing,0.2944,1.802,2.67,normal,0
2025-12-01 09:08:23,CP-07,1,BootNotification,Available,0.237,11.574,6.74,normal,0
2025-12-01 09:32:51,CP-10,2,Authorize,Available,0.3278,6.655,15.18,normal,0
2025-12-01 09:51:40,CP-07,2,MeterValues,Charging,0.3132,0.705,11.35,normal,0
2025-12-01 10:52:51,CP-09,2,MeterValues,Available,4.2328,2.705,17.44,price_spike,1
2025-12-01 09:01:42,CP-04,2,Heartbeat,Available,0.1689,7.942,9.09,normal,0
2025-12-01 09:58:02,CP-01,1,StatusNotification,Preparing,0.2302,9.689,19.35,normal,0
2025-12-01 09:54:44,CP-01,2,StartTransaction,Preparing,0.1914,7.29,8.37,normal,0
2025-12-01 10:21:27,CP-02,2,RemoteStopTransaction,Charging,0.0321,11.969,7.97,price_drop,1
