timestamp,source,event_type,load_kw,unit,log_level,attack_type,label
2025-12-22 08:01:00,SALDIRGAN,MeterValues,11.7,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 08:04:00,İSTASYON,MeterValues,5.8,kW,INFO,,0
2025-12-22 08:15:00,SALDIRGAN,MeterValues,12.4,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 08:04:00,İSTASYON,MeterValues,5.1,kW,INFO,,0
2025-12-22 08:05:00,İSTASYON,MeterValues,6.0,kW,INFO,,0
2025-12-22 08:30:00,İSTASYON,MeterValues,4.9,kW,INFO,,0
2025-12-22 08:21:00,İSTASYON,MeterValues,3.0,kW,INFO,,0
2025-12-22 08:16:00,İSTASYON,MeterValues,4.4,kW,INFO,,0
2025-12-22 08:18:00,İSTASYON,MeterValues,6.2,kW,INFO,,0
2025-12-22 08:10:00,İSTASYON,MeterValues,10.9,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 08:55:00,İSTASYON,MeterValues,3.2,kW,INFO,,0
2025-12-22 08:48:00,İSTASYON,MeterValues,7.1,kW,INFO,,0
2025-12-22 08:52:00,İSTASYON,MeterValues,11.8,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 09:10:00,İSTASYON,MeterValues,3.3,kW,INFO,,0
2025-12-22 08:30:00,İSTASYON,MeterValues,7.1,kW,INFO,,0
2025-12-22 08:32:00,İSTASYON,MeterValues,4.6,kW,INFO,,0
2025-12-22 09:08:00,İSTASYON,MeterValues,4.5,kW,INFO,,0
2025-12-22 08:54:00,İSTASYON,MeterValues,5.8,kW,INFO,,0
2025-12-22 08:19:00,İSTASYON,MeterValues,3.7,kW,INFO,,0
2025-12-22 08:40:00,İSTASYON,MeterValues,4.6,kW,INFO,,0
2025-12-22 09:45:00,İSTASYON,MeterValues,4.4,kW,INFO,,0
2025-12-22 08:22:00,İSTASYON,MeterValues,3.1,kW,INFO,,0
2025-12-22 09:09:00,İSTASYON,MeterValues,3.3,kW,INFO,,0
2025-12-22 10:00:00,İSTASYON,MeterValues,4.3,kW,INFO,,0
2025-12-22 09:40:00,İSTASYON,MeterValues,6.8,kW,INFO,,0
2025-12-22 09:44:00,İSTASYON,MeterValues,3.6,kW,INFO,,0
2025-12-22 10:15:00,İSTASYON,MeterValues,6.1,kW,INFO,,0
2025-12-22 09:52:00,İSTASYON,MeterValues,4.7,kW,INFO,,0
2025-12-22 08:58:00,İSTASYON,MeterValues,3.6,kW,INFO,,0
2025-12-22 10:00:00,SALDIRGAN,MeterValues,10.7,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 09:02:00,İSTASYON,MeterValues,6.3,kW,INFO,,0
2025-12-22 10:08:00,İSTASYON,MeterValues,4.6,kW,INFO,,0
2025-12-22 10:45:00,İSTASYON,MeterValues,5.2,kW,INFO,,0
2025-12-22 10:50:00,İSTASYON,MeterValues,3.0,kW,INFO,,0
2025-12-22 08:35:00,İSTASYON,MeterValues,5.3,kW,INFO,,0
2025-12-22 09:48:00,İSTASYON,MeterValues,4.4,kW,INFO,,0
2025-12-22 09:51:00,İSTASYON,MeterValues,4.9,kW,INFO,,0
2025-12-22 09:54:00,İSTASYON,MeterValues,6.2,kW,INFO,,0
2025-12-22 11:15:00,İSTASYON,MeterValues,6.7,kW,INFO,,0
2025-12-22 10:00:00,İSTASYON,MeterValues,5.1,kW,INFO,,0
2025-12-22 09:22:00,İSTASYON,MeterValues,6.2,kW,INFO,,0
2025-12-22 11:30:00,İSTASYON,MeterValues,6.9,kW,INFO,,0
2025-12-22 08:43:00,İSTASYON,MeterValues,5.1,kW,INFO,,0
2025-12-22 08:44:00,İSTASYON,MeterValues,6.7,kW,INFO,,0
2025-12-22 10:15:00,İSTASYON,MeterValues,4.0,kW,INFO,,0
2025-12-22 11:50:00,İSTASYON,MeterValues,3.4,kW,INFO,,0
2025-12-22 11:08:00,İSTASYON,MeterValues,7.1,kW,INFO,,0
2025-12-22 12:00:00,İSTASYON,MeterValues,3.5,kW,INFO,,0
2025-12-22 11:16:00,İSTASYON,MeterValues,3.7,kW,INFO,,0
2025-12-22 12:10:00,İSTASYON,MeterValues,4.8,kW,INFO,,0
2025-12-22 09:42:00,İSTASYON,MeterValues,6.2,kW,INFO,,0
2025-12-22 09:44:00,İSTASYON,MeterValues,4.7,kW,INFO,,0
2025-12-22 10:39:00,İSTASYON,MeterValues,5.2,kW,INFO,,0
2025-12-22 08:54:00,İSTASYON,MeterValues,3.3,kW,INFO,,0
2025-12-22 08:55:00,İSTASYON,MeterValues,4.0,kW,INFO,,0
2025-12-22 09:52:00,SALDIRGAN,MeterValues,13.7,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 09:54:00,İSTASYON,MeterValues,10.6,kW,WARNING,LOAD_MANIPULATION,1
2025-12-22 08:58:00,İSTASYON,MeterValues,4.2,kW,INFO,,0
2025-12-22 11:56:00,İSTASYON,MeterValues,3.6,kW,INFO,,0
2025-12-22 13:00:00,İSTASYON,MeterValues,4.0,kW,INFO,,0
2025-12-22 12:04:00,İSTASYON,MeterValues,3.8,kW,INFO,,0
2025-12-22 09:02:00,İSTASYON,MeterValues,4.5,kW,INFO,,0
2025-12-22 12:12:00,İSTASYON,MeterValues,6.1,kW,INFO,,0
2025-12-22 09:04:00,SALDIRGAN,MeterValues,13.8,kW,WARNING,LOAD_MANIPULATION,1
