timestamp,level,severity,message,action,stage,rule_id,source_ip,source_port,dest_ip,dest_port,http_method,http_path,http_status,ocp_namespace,ocp_pod,label
2025-12-20 23:00:01,NORMAL,NORMAL,Trafik Akışı Temiz,OK,Benign,OK-0000,10.216.16.8,34142,10.47.111.60,80,PATCH,/api/v1/orders,500,test,api-6d7f8c9b7f-2kq9x,0
2025-12-20 23:00:02,NORMAL,NORMAL,Trafik Akışı Temiz,OK,Benign,OK-0000,10.172.52.24,56565,10.194.49.92,8080,PATCH,/api/v1/payments,200,payments,payment-7b86c9c7b8-q2v7m,0
2025-12-20 23:00:03,NORMAL,NORMAL,Servis Sağlık Kontrolü,OK,Benign,OK-0001,10.148.40.219,19241,10.119.51.98,8443,PUT,/api/v1/users,400,dev,api-6d7f8c9b7f-2kq9x,0
2025-12-20 23:00:09,SALDIRI,TEHDIT,TLS Downgrade / Fuzzing,Bloklandı,Initial Access,TLS-ANOM-2001,10.112.166.216,3127,10.28.117.211,8080,DELETE,/api/v1/payments,200,test,auth-6c5d7f6cbb-9p3a2,1
2025-12-20 23:00:15,NORMAL,NORMAL,Servis Sağlık Kontrolü,OK,Benign,OK-0001,10.219.204.93,33367,10.112.70.131,80,GET,/login,201,test,gateway-7f8c9d7b6b-x4n1k,0
2025-12-20 23:00:19,NORMAL,NORMAL,Servis Sağlık Kontrolü,OK,Benign,OK-0001,10.136.174.29,30759,10.150.222.41,80,PUT,/actuator/health,201,monitoring,api-6d7f8c9b7f-2kq9x,0
2025-12-20 23:00:24,NORMAL,NORMAL,Trafik Akışı Temiz,OK,Benign,OK-0000,10.165.250.5,55528,10.57.185.225,8080,POST,/,204,test,gateway-7f8c9d7b6b-x4n1k,0
2025-12-20 23:00:29,NORMAL,NORMAL,Trafik Akışı Temiz,OK,Benign,OK-0000,10.108.102.183,43614,10.159.204.172,8080,DELETE,/actuator/health,403,monitoring,web-5c7b9d4cdd-hm8z1,0
2025-12-20 23:00:31,NORMAL,NORMAL,Trafik Akışı Temiz,OK,Benign,OK-0000,10.16.169.19,32836,10.121.142.172,443,PATCH,/api/v1/users,429,dev,api-6d7f8c9b7f-2kq9x,0
2025-12-20 23:00:33,SALDIRI,TEHDIT,SQL Injection Denemesi,Bloklandı,Initial Access,WAF-SQLI-3003,10.50.31.104,13580,10.173.55.64,443,PATCH,/wp-login.php,201,auth,auth-6c5d7f6cbb-9p3a2,1
2025-12-20 23:00:34,NORMAL,NORMAL,Trafik Akışı Temiz,OK,Benign,OK-0000,10.85.208.125,27306,10.246.109.222,80,POST,/.env,200,monitoring,api-6d7f8c9b7f-2kq9x,0
2025-12-20 23:00:38,NORMAL,NORMAL,Servis Sağlık Kontrolü,OK,Benign,OK-0001,10.31.160.15,61276,10.25.244.129,443,GET,/actuator/health,200,test,payment-7b86c9c7b8-q2v7m,0
2025-12-20 23:00:42,SALDIRI,KRITIK,RBAC Yetki Yükseltme Şüphesi,Engellendi,Privilege Escalation,K8S-RBAC-4005,151.161.133.53,26962,10.160.122.68,443,PUT,/wp-login.php,400,monitoring,gateway-7f8c9d7b6b-x4n1k,1
